direction,hour,month,traffic_volume,day_type,source,road_total_distance,road_avg_gradient,road_max_gradient,road_min_gradient,temperature,humidity,precipitation,wind_speed,pressure,visibility,road_dry,road_light_rain,road_light_snow,visibility_excellent,visibility_good,visibility_moderate,visibility_poor,road_condition,driving_visibility,rush_period_detailed,temperature_normalized_new,humidity_normalized_new,wind_speed_normalized_new,precipitation_normalized_new,traffic_volume_normalized_new,state_vector_rush,rush_separated_reward
nonhyeon_to_sinsa,7,1,1446,weekday,hourly_monthly,450,-1.9637879265679237,6.416152954101556,-5.933879852294922,-4.213559322033898,74.0677966101695,0.0,2.3779661016949154,1013.7593220338983,1448.2033898305085,True,False,False,True,False,False,False,dry,excellent,morning_rush,0.24502718260313397,0.6949152542372882,0.2935760619376439,0.0,0.0,"[0.30434782608695654, 0.08333333333333333, 0.0, 0.9659258262890683, -0.25881904510252063, 0.49999999999999994, 0.8660254037844387, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0.26310734463276836, 0.7406779661016949, 0.1585310734463277, 0.0, 0.0, 1, 0, 0, 1, 0, 0, 0]",0.3275022860453402
nonhyeon_to_sinsa,7,2,1457,weekday,hourly_monthly,450,-1.9637879265679237,6.416152954101556,-5.933879852294922,-1.0581818181818181,72.18181818181819,0.0,1.9727272727272727,1015.0890909090909,1460.0545454545454,True,False,False,True,False,False,False,dry,excellent,morning_rush,0.3045626072041166,0.6727272727272728,0.24354657687991021,0.0,0.03459119496855346,"[0.30434782608695654, 0.16666666666666666, 0.03459119496855346, 0.9659258262890683, -0.25881904510252063, 0.8660254037844386, 0.5000000000000001, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0.3156969696969697, 0.7218181818181819, 0.1315151515151515, 0.0, 0.0, 1, 0, 0, 1, 0, 0, 0]",0.35905606108386107
nonhyeon_to_sinsa,7,3,1539,weekday,hourly_monthly,450,-1.9637879265679237,6.416152954101556,-5.933879852294922,5.205084745762712,64.66101694915254,0.0,2.064406779661017,1009.8559322033898,1501.7627118644068,True,False,False,True,False,False,False,dry,excellent,morning_rush,0.4227374480332587,0.584247258225324,0.25486503452605147,0.0,0.29245283018867924,"[0.30434782608695654, 0.25, 0.29245283018867924, 0.9659258262890683, -0.25881904510252063, 1.0, 6.123233995736766e-17, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0.4200847457627119, 0.6466101694915254, 0.1376271186440678, 0.0, 0.0, 1, 0, 0, 1, 0, 0, 0]",0.6270142885294061
nonhyeon_to_sinsa,7,4,1566,weekday,hourly_monthly,450,-1.9637879265679237,6.416152954101556,-5.933879852294922,9.909803921568628,74.3529411764706,0.15294117647058822,2.1254901960784314,1004.6470588235294,1432.6274509803923,True,False,False,True,False,False,False,dry,excellent,morning_rush,0.5115057343692194,0.6982698961937717,0.2624061970467199,0.004407526699440582,0.37735849056603776,"[0.30434782608695654, 0.3333333333333333, 0.37735849056603776, 0.9659258262890683, -0.25881904510252063, 0.8660254037844387, -0.4999999999999998, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0.4984967320261438, 0.743529411764706, 0.14169934640522877, 0.005098039215686274, 0.0, 1, 0, 0, 1, 0, 0, 0]",0.6782906599915802
nonhyeon_to_sinsa,7,5,1565,weekday,hourly_monthly,450,-1.9637879265679237,6.416152954101556,-5.933879852294922,15.562295081967212,77.39344262295081,0.26557377049180325,1.9245901639344263,1003.0508196721311,1627.639344262295,True,False,False,True,False,False,False,dry,excellent,morning_rush,0.6181565109805134,0.7340405014464801,0.23760372394252177,0.007653422780743609,0.3742138364779874,"[0.30434782608695654, 0.4166666666666667, 0.3742138364779874, 0.9659258262890683, -0.25881904510252063, 0.49999999999999994, -0.8660254037844387, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0.5927049180327869, 0.7739344262295081, 0.12830601092896174, 0.008852459016393442, 0.0, 1, 0, 0, 1, 0, 0, 0]",0.9128860040418837
nonhyeon_to_sinsa,7,6,1618,weekday,hourly_monthly,450,-1.9637879265679237,6.416152954101556,-5.933879852294922,20.552542372881355,84.33898305084746,0.2983050847457627,1.5932203389830508,997.1610169491526,1494.135593220339,True,False,False,True,False,False,False,dry,excellent,morning_rush,0.7123121202430444,0.815752741774676,0.1966938690102532,0.008596688321203536,0.5408805031446541,"[0.30434782608695654, 0.5, 0.5408805031446541, 0.9659258262890683, -0.25881904510252063, 1.2246467991473532e-16, -1.0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0.6758757062146893, 0.8433898305084746, 0.10621468926553672, 0.009943502824858758, 0.0, 1, 0, 0, 1, 0, 0, 0]",0.8497022752283242
nonhyeon_to_sinsa,7,7,1552,weekday,hourly_monthly,450,-1.9637879265679237,6.416152954101556,-5.933879852294922,24.67017543859649,89.82456140350877,0.2947368421052632,1.8035087719298246,997.2701754385965,1378.2456140350878,True,False,False,True,False,False,False,dry,excellent,morning_rush,0.7900033101621979,0.8802889576883385,0.22265540394195366,0.00849385712118914,0.3333333333333333,"[0.30434782608695654, 0.5833333333333334, 0.3333333333333333, 0.9659258262890683, -0.25881904510252063, -0.4999999999999997, -0.8660254037844388, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0.7445029239766081, 0.8982456140350876, 0.12023391812865497, 0.009824561403508772, 0.0, 1, 0, 0, 1, 0, 0, 0]",0.8948088110594276
nonhyeon_to_sinsa,7,8,1546,weekday,hourly_monthly,450,-1.9637879265679237,6.416152954101556,-5.933879852294922,24.947540983606558,84.47540983606558,0.1540983606557377,1.9114754098360656,995.6508196721311,1762.4262295081967,True,False,False,True,False,False,False,dry,excellent,morning_rush,0.7952366223321993,0.8173577627772421,0.2359846184982797,0.00444087494685123,0.31446540880503143,"[0.30434782608695654, 0.6666666666666666, 0.31446540880503143, 0.9659258262890683, -0.25881904510252063, -0.8660254037844384, -0.5000000000000004, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0.7491256830601093, 0.8447540983606558, 0.12743169398907103, 0.005136612021857923, 0.0, 1, 0, 0, 1, 0, 0, 0]",0.904651249943523
nonhyeon_to_sinsa,7,9,1605,weekday,hourly_monthly,450,-1.9637879265679237,6.416152954101556,-5.933879852294922,12.5,65.0,0.0,2.3,1013.0,15000.0,True,False,False,False,True,False,False,dry,good,morning_rush,0.560377358490566,0.5882352941176471,0.2839506172839506,0.0,0.5,"[0.30434782608695654, 0.75, 0.5, 0.9659258262890683, -0.25881904510252063, -1.0, -1.8369701987210297e-16, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0.5416666666666666, 0.65, 0.15333333333333332, 0.0, 0.0, 1, 0, 0, 0, 1, 0, 0]",0.9089606417867871
nonhyeon_to_sinsa,8,1,1602,weekday,hourly_monthly,450,-1.9637879265679237,6.416152954101556,-5.933879852294922,-4.472881355932203,73.33898305084746,0.0,2.611864406779661,1013.9898305084746,1480.0677966101696,True,False,False,True,False,False,False,dry,excellent,morning_rush,0.24013431403901503,0.6863409770687936,0.3224523958987236,0.0,0.49056603773584906,"[0.34782608695652173, 0.08333333333333333, 0.49056603773584906, 0.8660254037844387, -0.4999999999999998, 0.49999999999999994, 0.8660254037844387, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0.2587853107344633, 0.7333898305084746, 0.17412429378531072, 0.0, 0.0, 1, 0, 0, 1, 0, 0, 0]",0.29490906570635717
